text,label,source,source_label,mapping_confidence,is_event_specific
I asked that this company validate this account. They sent a bill which does not show any written agreement that I owe this company any monies.,complaint,hf_hpe_customer_complaints,attempts to collect debt not owed debt is not yours debt collection   ,public_mapped_high,False
"I have bought some items, help canceling purchase",cancellation_request,hf_bitext_customer_support,cancel_order,public_mapped_high,False
Is the luxury package available for 130 guests?,availability_question,eventsense_event_templates,availability_question,event_specific_template,True
Then just eat a shit and wait for ur monkey face bitch.......... U asshole..................,other,hf_sms_spam_collection,ham,other_spam_noise,False
need assistance with canceling order,cancellation_request,hf_bitext_customer_support,cancel_order,public_mapped_high,False
i 'd like to have some information on a ticket from denver to pittsburgh and atlanta,pricing_request,hf_atis,airfare,weak_domain_mapped,False
"Hi, Cfpb My name is XXXX XXXX. XXXX XXXX XXXX XXXX # XXXX XXXX XXXX CA XXXX Recently, I submitted issue my credit reports. Thank you for that there is more error on my reports. Still show Experian credit reports. Here is listed attached files. In accordance with the Fair Credit Reporting act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681. XXXX Account Experian Accounts # XXXX # XXXX, has violated my rights. 15 U.S.C 1681 section 602 A. States I have the right to privacy. 15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681c. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years. 15 U.S.C. 1681s-2 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate.",complaint,hf_hpe_customer_complaints,"improper use of your report reporting company used your report improperly credit reporting, credit repair services, or o",public_mapped_high,False
show me the airlines that fly from denver to san francisco,service_question,hf_atis,airline,weak_domain_mapped,False
LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts,other,hf_sms_spam_collection,spam,other_spam_noise,False
assistance seeing how olng refunds take,payment_issue,hf_bitext_customer_support,check_refund_policy,public_mapped_high,False
I need help talking to a live agent,human_escalation,hf_bitext_customer_support,contact_human_agent,public_mapped_high,False
how do I buy some articles?,booking_inquiry,hf_bitext_customer_support,place_order,public_mapped_medium,False
show me round trip fares from toronto to detroit on delta northwest us air and united airlines,pricing_request,hf_atis,airfare,weak_domain_mapped,False
swithcing to standard account,service_question,hf_bitext_customer_support,switch_account,public_mapped_high,False
"The unverified items indicated below continue to report on my credit report despite several written requests, in violation of federal law. Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) require these items to be authenticated ( A ). I will take legal action against you if you do not validate these items. Please follow the law so that this situation can be settled quickly. XXXX XXXX XXXX XXXX Original Creditor : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",complaint,hf_hpe_customer_complaints,"incorrect information on your report information belongs to someone else credit reporting, credit repair services, or ot",public_mapped_high,False
"Please, can you send me your wedding package prices?",pricing_request,eventsense_event_templates,pricing_request,event_specific_template,True
Is the outdoor area available for July 20?,availability_question,eventsense_event_templates,availability_question,event_specific_template,True
Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,other,hf_sms_spam_collection,ham,other_spam_noise,False
Is the premium package available for 100 guests?,availability_question,eventsense_event_templates,availability_question,event_specific_template,True
I notice you like looking in the shit mirror youre turning into a right freak,other,hf_sms_spam_collection,ham,other_spam_noise,False
i need assistance to chat with somebody,human_escalation,hf_bitext_customer_support,contact_human_agent,public_mapped_high,False
"Sorry, I'll call later",other,hf_sms_spam_collection,ham,other_spam_noise,False
how do I check the termination penalties ?,cancellation_request,hf_bitext_customer_support,check_cancellation_fee,public_mapped_high,False
"I do not have a pro account, could you help me to register?",service_question,hf_bitext_customer_support,create_account,public_mapped_high,False
Cashnet USA account was opened in my name back in XX/XX/2017 and was not opened by me. There is identity theft going on and Cashnet USA needs to be removed from my credit report.,complaint,hf_hpe_customer_complaints,attempts to collect debt not owed debt was result of identity theft debt collection   ,public_mapped_high,False
would it be possible to speak to someone?,human_escalation,hf_bitext_customer_support,contact_human_agent,public_mapped_high,False
Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe,other,hf_sms_spam_collection,ham,other_spam_noise,False
I need assistance speaking with an assistant,human_escalation,hf_bitext_customer_support,contact_human_agent,public_mapped_high,False
I don't know how to purchase a few of your item,booking_inquiry,hf_bitext_customer_support,place_order,public_mapped_medium,False
need to buy a few of ur item,booking_inquiry,hf_bitext_customer_support,place_order,public_mapped_medium,False
Don‘t give a flying monkeys wot they think and I certainly don‘t mind. Any friend of mine and all that!,other,hf_sms_spam_collection,ham,other_spam_noise,False
cancel purchase732201349959,cancellation_request,hf_bitext_customer_support,cancel_order,public_mapped_high,False
I have got to earn some products,booking_inquiry,hf_bitext_customer_support,place_order,public_mapped_medium,False
"The Credit Bureaus stated that my XXXX XXXX account was properly investigated, but how is that possible if the High Balance is inaccurate, the Last verified date is inaccurate, Date Reported is inaccurate, the Date Opened is inaccurate, the Closed Date is inaccurate, the Creditor Type is inaccurate, the Creditor Remarks are inaccurate, the Last Payment Date is inaccurate, the Account Type is inaccurate, the Credit Limit is inaccurate, and the Date of Last activity is not accurate, each of these are a SEPARATE VIOLATION. They also UNLAWFULLY reported COLLECTIONS on my payment history in these months and years XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX, XX/XX/XXXX and XX/XX/XXXX each of these dates are a SEPARATE VIOLATION. Because of the multiple inaccuracies on my credit profile which have negatively impacted my credit I have been unable to find housing and transportation for myself and my child! This is grounds for removal. They also violated my rights under 15 U.S.C 1681 section 602 A. States I have the right to privacy. 15 U.S.C 1681 section 604 A section 2 : It also states a consumer reporting agency can not furnish an account without my written instructions.",complaint,hf_hpe_customer_complaints,"improper use of your report reporting company used your report improperly credit reporting, credit repair services, or o",public_mapped_high,False
can you help me cancelling oredr ?,cancellation_request,hf_bitext_customer_support,cancel_order,public_mapped_high,False
"I was charged twice, when I didn't purchase anything twice.",pricing_request,hf_banking77,transaction_charged_twice,public_mapped_medium,False
I have incorrect info on my credit report. I do not know of this info it does n't belong to me These are the itmes that do not belong to me XXXX XXXX {$5400.00} XXXX XXXX {$2000.00} XXXX XXXX XXXX {$1900.00} XXXX XXXX {$590.00} XXXX {$140.00} XXXX XXXX XXXX,complaint,hf_hpe_customer_complaints,"incorrect information on your report information belongs to someone else credit reporting, credit repair services, or ot",public_mapped_high,False
We need to change the guest count from 80 to 260.,guest_count_change,eventsense_event_templates,guest_count_change,event_specific_template,True
i try to see the early temrination penalty,cancellation_request,hf_bitext_customer_support,check_cancellation_fee,public_mapped_high,False
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,other,hf_sms_spam_collection,spam,other_spam_noise,False
How do I go about getting a virtual card?,payment_issue,hf_banking77,getting_virtual_card,public_mapped_medium,False
"Good afternoon, My name is XXXX XXXX XXXX and I am writing to request your assistance with a fraudulent charge that occurred in a Rooms to Go store in Texas. <P/>To start, I have never visited Texas and I am currently stationed in Georgia. Below is the information regarding the transaction. The Transaction was for {$340.00} and {$40.00} have accumulated in late fees. <P/><P/>Before the transaction, my account had no balance because I had already paid off my balance in XXXX 2017. Although the transaction occurred in XXXX XXXX 2017, a statement was not executed until XXXX. It is unclear how the transaction was authorized because I have the card and I have my state IDs with me. I have not authorized users on this account, and I have not lost my wallet. <P/><P/>I have contacted the store in XXXX to no avail. I explained to the Sales Rep ( over the phone ) XXXX XXXX XXXX that I am set to deploy at the end of this month and needed more information about the purchase. She explained she needed me to fax information or to visit a local store. <P/>Moreover, I have contacted Synchrony bank and reported the fraudulent transaction. Unfortunately, the investigation will take up to 60 days. I am set to deploy at the end of this month and may not have the ability to track this issue. The charges are still showing on my account including the late fees. <P/>Finally, I have contacted Rooms to Go and explained the matter. <P/><P/>Thank you in advance for your time. <P/>INFORMATION ABOUT THE TRANSACTION : XXXX ROOMS TO GO XXXX XXXXXXXX XXXX TX ( XXXX XXXX, 2017 ).",payment_issue,hf_hpe_customer_complaints,problem with a purchase shown on your statement card was charged for something you did not purchase with the card credit,public_mapped_high,False
I want a call from the team today.,human_escalation,eventsense_extra_manual_examples,human_escalation,event_specific_manual,True
I am interested in booking your basic package for a reception.,booking_inquiry,eventsense_event_templates,booking_inquiry,event_specific_template,True
can you help me to talk with a damn live agent?,human_escalation,hf_bitext_customer_support,contact_human_agent,public_mapped_high,False
I want to reserve the garden setup for my reception.,booking_inquiry,eventsense_event_templates,booking_inquiry,event_specific_template,True
how long till i get my damn reimbursement,payment_issue,hf_bitext_customer_support,get_refund,public_mapped_high,False
Do you charge for making a withdrawal? I took some money out of my account earlier and I was charged for this.,pricing_request,hf_banking77,cash_withdrawal_charge,public_mapped_medium,False
I want to complain about the poor communication.,complaint,eventsense_extra_manual_examples,complaint,event_specific_manual,True
need help to speqk with an operator,human_escalation,hf_bitext_customer_support,contact_human_agent,public_mapped_high,False
give me a list of airports in baltimore,service_question,hf_atis,airport,weak_domain_mapped,False
Is the premium package available for 260 guests?,availability_question,eventsense_event_templates,availability_question,event_specific_template,True
hel me speak to customer service,service_question,hf_bitext_customer_support,contact_customer_service,public_mapped_high,False
I don't know how to chat with an operator,human_escalation,hf_bitext_customer_support,contact_human_agent,public_mapped_high,False
"I have pulled my credit to find out there is a repossession of a vehicle linked to my name and personal information. I have never purchased a vehicle and would like this deleted from my credit files immediately. I have contacted the company and was advised I appeared as a consigner to a vehicle and that the car had been repossed. I have no knowledge of this and would demand this be deleted immediately from all my credit files as this information is innacurate and misleading as it 's fraud. I am requesting the company to provide proof and they ca n't provide anything that I opened this account such as id state issued, driver license, passport, social security card and they have none of this on file apparently",complaint,hf_hpe_customer_complaints,"incorrect information on your report information belongs to someone else credit reporting, credit repair services, or ot",public_mapped_high,False
i want help ordering an article,booking_inquiry,hf_bitext_customer_support,place_order,public_mapped_medium,False
Can you give me a cost estimate for 80 guests?,pricing_request,eventsense_event_templates,pricing_request,event_specific_template,True
Please provide currency exchange rates,pricing_request,hf_banking77,exchange_charge,public_mapped_medium,False
"I bought some item, cancel order",cancellation_request,hf_bitext_customer_support,cancel_order,public_mapped_high,False
is it possible to purchase an article?,booking_inquiry,hf_bitext_customer_support,place_order,public_mapped_medium,False
I have got to talk with a live agent,human_escalation,hf_bitext_customer_support,contact_human_agent,public_mapped_high,False
can ya help me check the early termination penalty,cancellation_request,hf_bitext_customer_support,check_cancellation_fee,public_mapped_high,False
want help setting the secondary delivery address up,service_question,hf_bitext_customer_support,set_up_shipping_address,public_mapped_high,False
Yo you around? A friend of mine's lookin to pick up later tonight,other,hf_sms_spam_collection,ham,other_spam_noise,False
"I have forgotten my user profile pwd, where to reset it?",service_question,hf_bitext_customer_support,recover_password,public_mapped_high,False
"I conducted a serious of disputes regarding suspicious negative items on my credit report in XXXX and the items pertinent to the disputes were deleted. I distinctly remember a fraudulent charge under {$200.00} that was attributed to an address at which I did not reside-one XXXX XXXX at XXXX, TX. Incidentally, following the resolution of the dispute, a department at the XXXX of XXXX referred the "" deleted debt '' to an agency called "" XXXX XXXX XXXX '' The item was already deleted as the dispute demonstrated that the debt was unfounded and not mine, yet it is being reported once more. I contacted Contract Callers Inc and spoke with a XXXX XXXX, who stated explicitly to me that the company is unable to suspend the account on-file with their office to begin an investigation of sorts to get this matter resolved without obtaining my address to provide me a fraud packet. As I understand it, despite what she said to me, a police report is not needed to move forward with such claims, nor is a company obligated to use a 'fraud packet ' as the sole basis for an identity theft investigation. It was an aggression and deceit that which the collections representative XXXX XXXX employed to obtain personal information from me despite the fact that as a victim of identity theft, I did not feel comfortable giving a company unknown information after already having to use my SSN as self-verification. The information she provided regarding the procedure is untrue just as much as the company is wrong for seeking the fraudulent debt that which has already been permanently removed from consumer reporting agencies.",complaint,hf_hpe_customer_complaints,attempts to collect debt not owed debt was result of identity theft debt collection   ,public_mapped_high,False
Please escalate this to your supervisor.,human_escalation,eventsense_event_templates,human_escalation,event_specific_template,True
give me a flight from new york city to las vegas and a flight from memphis to las vegas that arrive at the same time,availability_question,hf_atis,flight,weak_domain_mapped,False
I have been trying to resolve these issues with the companies but i have not been able to get anywere. The following account are not mines : XXXX XXXX/XXXX {$210.00} XXXX XXXX/XXXX {$260.00} XXXX/XXXX {$310.00} XXXX/XXXX XXXX {$440.00} XXXX XXXX XXXX XXXX XXXX {$0.00} XXXX/XXXX XXXX {$760.00} XXXX XXXX XXXX {$890.00} XXXX/XXXX {$0.00} XXXX/XXXX XXXX {$1100.00} XXXX XXXX XXXX Original creditor : XXXX XXXX XXXX XXXX. {$1100.00} XXXX XXXX Original creditor : XXXX XXXX XXXX XXXX XXXX XXXX {$600.00} XXXX XXXX XXXX Original creditor : XXXX XXXX {$380.00},complaint,hf_hpe_customer_complaints,"incorrect information on your report information belongs to someone else credit reporting, credit repair services, or ot",public_mapped_high,False
Can you help me book the entrance setup for my wedding?,booking_inquiry,eventsense_event_templates,booking_inquiry,event_specific_template,True
can you help me notifying of a sign-up issue?,service_question,hf_bitext_customer_support,registration_problems,public_mapped_high,False
I want assistance checking my refund status,payment_issue,hf_bitext_customer_support,track_refund,public_mapped_high,False
show me how long it normally takes for my item to arrive,service_question,hf_bitext_customer_support,delivery_period,public_mapped_high,False
what do I have to do to switch to the freemium account?,service_question,hf_bitext_customer_support,switch_account,public_mapped_high,False
does midwest express serve nashville,availability_question,hf_atis,flight,weak_domain_mapped,False
help with adding several damn articles to order,urgent_change,hf_bitext_customer_support,change_order,public_mapped_medium,False
i have to cancel the company newsletter subscription help me,other,hf_bitext_customer_support,newsletter_subscription,public_mapped_medium,False
i have to change an item of order will uhelp me,urgent_change,hf_bitext_customer_support,change_order,public_mapped_medium,False
I don't know how to inform of problems with a signup,service_question,hf_bitext_customer_support,registration_problems,public_mapped_high,False
I transferred money and was charged and want to know why.,pricing_request,hf_banking77,transfer_fee_charged,public_mapped_medium,False
i want to fly from nashville to seattle and i want the cheapest fare round trip,availability_question,hf_atis,flight,weak_domain_mapped,False
how can I subscribe to the company newsletter?,other,hf_bitext_customer_support,newsletter_subscription,public_mapped_medium,False
assistance checking my bill from,payment_issue,hf_bitext_customer_support,check_invoice,public_mapped_high,False
I want to lodge a reclamation,complaint,hf_bitext_customer_support,complaint,public_mapped_high,False
need to see how long refunds take can i get somehelp,payment_issue,hf_bitext_customer_support,check_refund_policy,public_mapped_high,False
I have to speak with somebody,human_escalation,hf_bitext_customer_support,contact_human_agent,public_mapped_high,False
"I was reviewing my credit scores when I noticed there was a note on my Care Credit account, so I logged in only to find it had been closed less than 2 weeks ago. There is no balance on the card, I have had it several years, and made all my payments on time with no late fees. I tried to call the company to no avail. They lied to me on the phone twice, once stating that they sent out mail and email notifications that the account was going to be closed, but later backpeddalied and said the account was closed BEFORE they sent out these notifications, which I never received. Then, the first representative I spoke to actually told me that these "" periodic automatic account reviews '' can be opted out of. When I asked how I would opt out, she said I'd have to review the terms and conditions. When I asked the supervisor I spoke to next, she said that information was false. Of course she also had to mention that they are not legally required to notify you of an account closure. I recommended they enact some better practices, such as requiring consumers acknowledge these notifications, either by certified mail, or some other electronic method, so that this does not happen, but again they are not required by law to notify you, so they care to have the integrity to do so. This appears to be a major issue with this brand, as I have seen on reviews for Care Credit on XXXX XXXX. And instead of taking measures to help their consumers and improve practices, they are derelict in their duty to responsibly provide credit services. There needs to be a law requiring credit card companies notify you BEFORE they close your account, and there needs to be ACKNOWLEDGMENT from the consumer that they understand this BEFORE the account can be closed. Because these practices are botching people credit scores, like mine. I am trying to apply for a mortgage, and I had this card open for a long time, helping my credit, but them closing it without my knowledge or permission, just set me back. Also, there should be a way for them to reinstate your closed account. If they can close it so easily, why can't they reopen it when THEY made a mistake? There needs to be accountability, instead of just 'oh well '. People who pay off their cards and are in good standing should not be penalized by a greedy system that can't make money on a card I only use for emergencies and special purchases.",cancellation_request,hf_hpe_customer_complaints,closing your account company closed your account credit card or prepaid card   ,public_mapped_high,False
I need help to speak with a human agent,human_escalation,hf_bitext_customer_support,contact_human_agent,public_mapped_high,False
Is the gold package available for 60 guests?,availability_question,eventsense_event_templates,availability_question,event_specific_template,True
"Urgent, we need to change the catering before this Saturday.",urgent_change,eventsense_event_templates,urgent_change,event_specific_template,True
Can we add 40 more guests to the engagement?,guest_count_change,eventsense_event_templates,guest_count_change,event_specific_template,True
Can you help me book the decoration for my engagement?,booking_inquiry,eventsense_event_templates,booking_inquiry,event_specific_template,True
help to chat with a damn operator,human_escalation,hf_bitext_customer_support,contact_human_agent,public_mapped_high,False
tell me about cancel my company newsletter subscription,other,hf_bitext_customer_support,newsletter_subscription,public_mapped_medium,False
I want to oldge a claim against your business,complaint,hf_bitext_customer_support,complaint,public_mapped_high,False
i do not understand ucan uhelp me speaking to a live agent,human_escalation,hf_bitext_customer_support,contact_human_agent,public_mapped_high,False
"I sent a complaint asking XXXX, XXXX, and Equifax to investigate my accounts. Her is the complaint ID XXXX, XXXX, XXXX. These consumer reporting agencies are in violation. According to XXXX XXXX XXXX - XXXX, XXXX, and Equifax have 30 days to investigate and send me results. And they also didn't even record the current status of the disputed information which is another violation.",complaint,hf_hpe_customer_complaints,problem with a credit reporting company's investigation into an existing problem investigation took more than 30 days cr,public_mapped_high,False
I need to report payment issues,payment_issue,hf_bitext_customer_support,payment_issue,public_mapped_high,False
flights between boston and philadelphia that arrive after 2 o'clock and before 5 o'clock on tuesday,availability_question,hf_atis,flight,weak_domain_mapped,False
Which ATMs take the card?,service_question,hf_banking77,atm_support,public_mapped_medium,False
Can you give me a cost estimate for 90 guests?,pricing_request,eventsense_event_templates,pricing_request,event_specific_template,True
We need an immediate update to the schedule.,urgent_change,eventsense_event_templates,urgent_change,event_specific_template,True
Please escalate this to your manager.,human_escalation,eventsense_extra_manual_examples,human_escalation,event_specific_manual,True
I don't know how to track my restitution,payment_issue,hf_bitext_customer_support,track_refund,public_mapped_high,False
can you help me see what shipping options I have?,service_question,hf_bitext_customer_support,delivery_options,public_mapped_high,False
Today banks and credit card companies have disproportionate advantages and monopoly on transactions. Citigroup is using that monopoly to punish lawful merchants of firearms. This abuse sets a dangerous precedent of companies that are gate keepers for a consumers money and is extremely harmful. Today it is firearms but this is possible with anything a credit card processor may agree or disagree with. Citigroup should also be punished for the age discrimination they are attempting to impart on the merchants in question. I would like to know how Citigroup is going to remedy this situation and what the next steps are from a corporate governance perspective. Specifically Id like Citigroup to define how their bank will or will not interfer with lawful transactions going forward.,payment_issue,hf_hpe_customer_complaints,"other features, terms, or problems other problem credit card or prepaid card   ",public_mapped_high,False
"I received multiple private loans from XXXX XXXX in XXXX to attend XXXX XXXX XXXX XXXX in XXXX, TN. Due to medical issues with my son, in XXXX, I filed bankruptcy. My bankruptcy was discharged XXXX XXXX, XXXX. During my bankruptcy, XXXX XXXX became Navient. Since my discharge, I have made multiple attempts to reconcile my student loan debt, including settling several of the loans. When I log into the Navient.com website and XXXX of the settled loans continue to show in a past due status. Another of the private loans, shows current but Navient refuses to apply any of the money paid them to the principal, apply it only to the interest. On the loan detail page, it states that my repayment plan is Full Principal and Interest, yet when I call Navient they state it is in an Interest Only repayment plan. On that same loan, in regards to the repayment, they send me a paper statement that I do not have a payment to make, then but I see on the website that they are expecting a payment. I call to the customer service department and they immediately transfer me to the collections department, who then states that my loans are not past due, so they proceed to transfer me to customer service who continues to be unable to help. I asked to speak with a manager, at which time I was placed on hold, then received a message stating that they were closed.",payment_issue,hf_hpe_customer_complaints,dealing with my lender or servicer trouble with how payments are handled student loan   ,public_mapped_high,False
help lodging a consumer claim,complaint,hf_bitext_customer_support,complaint,public_mapped_high,False
I do not know how to talk to a human agent,human_escalation,hf_bitext_customer_support,contact_human_agent,public_mapped_high,False
want assistance talking to an operator,human_escalation,hf_bitext_customer_support,contact_human_agent,public_mapped_high,False
assistance cancelling my newsletter subscription,other,hf_bitext_customer_support,newsletter_subscription,public_mapped_medium,False
I don't know how I can change something of purchase,urgent_change,hf_bitext_customer_support,change_order,public_mapped_medium,False
"I have already submitted a 2 complaints and you closed one and said the other was a duplicate. Now 3 I have submitted for XXXX XXXX Suntrust account XXXX opened on XX/XX/XXXX and closed on XX/XX/XXXX regarding my {$ .00} that they have continued to keep. See my attachments. First they were sending it in 15 days and then the second letter after you contacted them said they would be issuing the check on the XXXX of XXXX. Well, I just called them and they said they were going to continue to hold it. Now, I have tried with you and them. I have now hired a team of attorneys to get my XXXX plus all the damages we have accrued since the account was closed. And, boy are there some damages. Finally, I will get my money through the courts. I tried to tell you people that they sent my money to a money market account ... .and they did! I tried to warn you about the 3000 complaints against this bank. I just want my money and I want them to pay for all my damages that we have accrued because of them and pain and suffering we have been through ... you can't imagine, but you will see soon I ' very certain. You should have got my money back, but you canceled my claim and the 2nd one. We will see what a judge says ... because I will not stop until I feel better about being victimized by Suntrust bank and those whom could of stopped this massive misuse of my funds! It's criminal!!! We were smart enough to have witnesses on today 's conversation with Suntrust ... can't wait to get our money back we have had to eat beans for a month and my wife could not go to the doctor and see is very sick. You people should be ashamed!!! XXXX XXXX Good Luck!",complaint,hf_hpe_customer_complaints,managing an account funds not handled or disbursed as instructed checking or savings account   ,public_mapped_high,False
want help to see the termination charge,cancellation_request,hf_bitext_customer_support,check_cancellation_fee,public_mapped_high,False
"I have got to cancel purchase , help me",cancellation_request,hf_bitext_customer_support,cancel_order,public_mapped_high,False
what 's the cheapest first class airfare from pittsburgh to san francisco,pricing_request,hf_atis,airfare,weak_domain_mapped,False
"In XXXX, I found that my chase checking account couldn't withdraw or deposit money. After a few day, in XXXX, Chase sent me a letter about to close my checking by their decisions. Based on the letter, the remaining balance XXXX dollars will be stored as a check and mail to my address. In mid XXXX, I tried to contact the customer service for the refund. The representative told me the refund need would be sent to my address in a couple weeks. After I waited for a couple weeks, I tried to contact the customer service in XXXX, and this time the representative told me if I want to receive the refund, I need to come to a Chase bank branch directly. Then, I came to XXXX branch in XXXX XXXX, WA and found a customer manager for assisting. The manager gave me a phone number and told me to call this number by myself. I called this number and waited for 3 hours, the representative then told me that their were still doing the investigation and couldn't send the refund back to me. I asked the representative when they can send the refund back. She just said they don't know when they can finish the investigation and ask me to wait for a further notification. So far, I still did not get my refund back or any notification from Chase.",cancellation_request,hf_hpe_customer_complaints,closing an account funds not received from closed account checking or savings account   ,public_mapped_high,False
can you help me to cancel the newsletter subscription?,other,hf_bitext_customer_support,newsletter_subscription,public_mapped_medium,False
I don't know what to do to change to the platinum account,service_question,hf_bitext_customer_support,switch_account,public_mapped_high,False
Is the garden setup available for next week?,availability_question,eventsense_event_templates,availability_question,event_specific_template,True
what do i have to do to talk to a person,human_escalation,hf_bitext_customer_support,contact_human_agent,public_mapped_high,False
Can we add 40 more guests to the wedding?,guest_count_change,eventsense_event_templates,guest_count_change,event_specific_template,True
"I have to receive the damn newsletter, how to do it?",other,hf_bitext_customer_support,newsletter_subscription,public_mapped_medium,False
direct to me a person,human_escalation,hf_bitext_customer_support,contact_human_agent,public_mapped_high,False
I contacted Nelnet on XX/XX/XXXX via email explaining the error reported on my credit report. I received a copy of my latest credit report and I see two XXXX of Ed/Nelnet accounts are reporting inaccurately on my credit report. The account payment status is showing 120 days past due. My account has been transferred in XXXX. Why is still reporting as 120 days late for XX/XX/XXXX XX/XX/XXXX and XX/XX/XXXX. This is re-aging a closed account. This inaccurate account is hindering me from future lending. Please delete both accounts from my credit report.,complaint,hf_hpe_customer_complaints,"incorrect information on your report account status incorrect credit reporting, credit repair services, or other persona",public_mapped_high,False
"We received a text from XXXX XXXX asking for a door installation service. We agree to make business, he send us a check from this XXXX XXXX and send more amount, as the difference was supposed to be delivered to the supplier. We send XXXX the supplier vis XXXX and XXXX XXXX but then the check was returned because it was found altered. We communicate to this person what happened and now he is trying with the supplier to return the money. I told him this is fraud and now he ask to not report as the other person will return funds. Furthermore, we receive another similar business request but without sending funds. This person paid with a check from a company, saying he works for the company. He also wants part of the funds for some carpinter that will be working in the house.",payment_issue,hf_hpe_customer_complaints,problem with a lender or other company charging your account transaction was not authorized checking or savings account ,public_mapped_high,False
I cannotdelete some articles from purchase,urgent_change,hf_bitext_customer_support,change_order,public_mapped_medium,False
